"date","high","low","open","close","volume","quoteVolume","weightedAverage"
1475605800,10,10,10,10,128.832507,12.8833,10
1475607600,1.45,0.9,1,1.10599999,196.733757,191.7733,1.02586625
1475609400,1.07999988,0.78,1.05,0.79999998,1337.408302,1492.8493,0.89587631
1475611200,0.8799997,0.63,0.8,0.78881769,1467.834185,1873.5104,0.7834673
1475613000,0.78881767,0.695,0.7,0.72,1004.130611,1379.0982,0.72810666
1475614800,0.78881723,0.719999,0.72,0.73999999,278.545951,371.9039,0.74897287
1475616600,0.72000001,0.69,0.7145,0.711,839.789234,1191.0135,0.70510468
1475618400,0.69999999,0.67100006,0.681,0.69999895,347.870218,508.0174,0.68476042
1475620200,0.69999703,0.61555601,0.69999702,0.62999987,1192.322119,1820.0529,0.65510301
1475622000,0.63000001,0.6020013,0.61610002,0.62999838,659.017531,1074.9702,0.61305656
1475623800,0.64999652,0.6,0.629,0.602,1933.205091,3158.684,0.61202864
1475625600,0.69499321,0.58000006,0.59,0.68999988,1469.762723,2269.6859,0.64756217
1475627400,0.64999995,0.6,0.61,0.61999914,479.241708,772.73,0.62019294
1475629200,0.68,0.62700002,0.62700002,0.635,281.858285,440.155,0.64036147
1475631000,0.68498414,0.65000001,0.65000001,0.68498414,94.994117,139.5972,0.68048725
1475632800,0.68498414,0.67825933,0.6849841,0.6849585,153.089066,223.4965,0.68497306
1475634600,0.6849552,0.65,0.66000863,0.65,15.546615,23.6709,0.65678038
1475636400,0.65,0.65,0.65,0.65,0,0,0.65
1475638200,0.66944324,0.66366447,0.66366447,0.66944324,53.915549,80.7003,0.66809603
1475640000,0.67427995,0.67411267,0.6742734,0.67411267,146.40048,217.1251,0.67426794
1475641800,0.73,0.66000018,0.66000018,0.72999992,1461.789189,2077.0473,0.70378231
1475643600,0.72266263,0.705,0.72266263,0.72050025,780.7215,1093.5559,0.71392921
1475645400,0.90699296,0.72999999,0.73,0.76,2648.034019,3377.5402,0.78401257
1475647200,0.85996065,0.76000001,0.83998907,0.76000002,2196.933747,2714.8831,0.80921853
1475649000,0.79999876,0.76,0.79996269,0.77,224.287355,283.7162,0.79053422
1475650800,0.80373303,0.77000001,0.79698094,0.80373303,508.246376,635.5018,0.79975603
1475652600,0.82000196,0.75,0.79999999,0.77994316,705.667322,911.2263,0.77441503
1475654400,0.77988411,0.75,0.7798841,0.75,4734.105714,6226.6322,0.76029955
1475656200,0.75996306,0.68,0.72519931,0.75996306,7570.733676,10578.0573,0.7157017
1475658000,0.75996246,0.68600798,0.75996246,0.735,90.665756,126.9639,0.71410672
1475659800,0.75987756,0.73,0.735,0.73000001,169.791065,229.3465,0.74032536
1475661600,0.74799839,0.73,0.74716104,0.74799839,139.430434,189.9122,0.73418382
1475663400,0.76,0.71,0.74799839,0.73,6956.092027,9446.8912,0.73633662
1475665200,0.73717671,0.71000001,0.73717671,0.7324005,931.33202,1290.7576,0.72153908
1475667000,0.73271495,0.71,0.7324014,0.71500002,953.067569,1334.6745,0.71408238
1475668800,0.72717916,0.705,0.72717916,0.71,2998.196086,4188.539,0.71580951
1475670600,0.83714996,0.71,0.71,0.771859,6262.10528,8207.7137,0.76295367
1475672400,0.77178765,0.73,0.77178765,0.73,2239.757849,3044.1814,0.73575046
1475674200,0.74505685,0.72001887,0.73,0.74505471,425.326814,579.381,0.73410562
1475676000,0.74762449,0.72005554,0.72005554,0.74762449,26.358797,36.0942,0.73027839
1475677800,0.74731282,0.74,0.74,0.74,3852.375117,5205.7231,0.7400269
1475679600,0.74800002,0.74,0.74,0.74800001,33.144122,44.7408,0.74080248
1475681400,0.75276209,0.745,0.745,0.75,344.218947,459.0263,0.74988936
1475683200,0.758,0.75,0.75,0.75,1018.501174,1356.9879,0.75056023
1475685000,0.755,0.745,0.75,0.755,4042.672315,5391.1814,0.7498676
1475686800,0.76246703,0.755,0.755,0.76231653,2769.088131,3667.471,0.75504022
